id,map_id,address,descriptio,pic,link,icon,lat,lng,anim,title,infoopen,category,approved,retina,type,did,sticky,other_data,layergroup,Custom Field: geo_shape,prop_id,Custom Field: addresspt1,Custom Field: addressp_1,asset_clas,asset_type,objectid,,addresspt_,asset_subt,model_desc,mcc_id,roadseg_id,,model_no
1231223,21,"-37.81389991110184, 144.95734143620206",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.81389991,144.95734143620206,,,,1,1,0,,,,,,"{""coordinates"": [144.95734143620206, -37.81389991110184], ""type"": ""Point""}",0,16.88512037,251,Signage,Sign - Public Transport,36659,,110101,,Sign - Public Transport 1 Panel,1231223,20185,,P.16
1236979,21,"-37.81689800649741, 144.9618384108209",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.81689801,144.9618384108209,,,,1,1,0,,,,,,"{""coordinates"": [144.9618384108209, -37.81689800649741], ""type"": ""Point""}",0,24.66895752,72,Signage,Sign - Public Transport,36738,,579386,,Sign - Public Transport 1 Panel,1236979,20114,,P.16
1240839,21,"-37.79731310405415, 144.967955914192",Sign - Public Transport 1 Panel Bus Stop Type 3,,,,-37.7973131,144.9679559,,,,1,1,0,,,,,,"{""coordinates"": [144.967955914192, -37.79731310405415], ""type"": ""Point""}",0,10.9808405,336,Signage,Sign - Public Transport,37956,,103108,,Sign - Public Transport 1 Panel,1240839,20689,,P.16
1248457,21,"-37.80365281271108, 144.9564163595527",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.80365281,144.9564163595527,,,,1,1,0,,,,,,"{""coordinates"": [144.9564163595527, -37.80365281271108], ""type"": ""Point""}",0,18.16455397,21,Signage,Sign - Public Transport,38386,,589314,,Sign - Public Transport 1 Panel,1248457,20942,,P.16
1479426,21,"-37.79790612032, 144.9705713015547",Sign - Public Transport 1 Panel Bus Stop Type 3,,,,-37.79790612,144.9705713015547,,,,1,1,0,,,,,,"{""coordinates"": [144.9705713015547, -37.79790612032], ""type"": ""Point""}",0,26.30246726,335,Signage,Sign - Public Transport,40180,,106271,,Sign - Public Transport 1 Panel,1479426,20563,,P.16
1491448,21,"-37.787760777855524, 144.9253892133351",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.78776078,144.9253892133351,,,,1,1,0,,,,,,"{""coordinates"": [144.9253892133351, -37.787760777855524], ""type"": ""Point""}",0,52.27276699,342,Signage,Sign - Public Transport,41353,,618547,,Sign - Public Transport 1 Panel,1491448,23146,,P.16
1239918,21,"-37.82565495609574, 144.96017643000502",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.82565496,144.96017643000502,,,,1,1,0,,,,,,"{""coordinates"": [144.96017643000502, -37.82565495609574], ""type"": ""Point""}",0,33.5189726,72,Signage,Sign - Public Transport,42750,,108053,,Sign - Public Transport 1 Panel,1239918,22042,,P.16
1255248,21,"-37.84636998833038, 144.98481744885754",Sign - Public Transport 1 Panel Bus Stop Type 3,,,,-37.84636999,144.98481744885754,,,,1,1,0,,,,,,"{""coordinates"": [144.98481744885754, -37.84636998833038], ""type"": ""Point""}",0,63.9730963,90,Signage,Sign - Public Transport,44170,,645774,,Sign - Public Transport 1 Panel,1255248,22481,,P.16
1247042,21,"-37.81767597164006, 144.95888238475013",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.81767597,144.95888238475013,,,,1,1,0,,,,,,"{""coordinates"": [144.95888238475013, -37.81767597164006], ""type"": ""Point""}",0,10.53790207,105,Signage,Sign - Public Transport,2098,,507646,,Sign - Public Transport 1 Panel,1247042,20118,,P.16
1249788,21,"-37.793726533289785, 144.94716743007305",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.79372653,144.94716743007305,,,,1,1,0,,,,,,"{""coordinates"": [144.94716743007305, -37.793726533289785], ""type"": ""Point""}",0,44.2305064,237,Signage,Sign - Public Transport,2627,,100087,,Sign - Public Transport 1 Panel,1249788,20919,,P.16
1239032,21,"-37.82825403073943, 144.97139535783998",Sign - Public Transport 1 Panel Bus Stop Type 8,,,,-37.82825403,144.97139535783998,,,,1,1,0,,,,,,"{""coordinates"": [144.97139535783998, -37.82825403073943], ""type"": ""Point""}",0,0,0,Signage,Sign - Public Transport,4934,,0,,Sign - Public Transport 1 Panel,1239032,22704,,P.16
1245405,21,"-37.81810589679171, 144.9619763819388",Sign - Public Transport 1 Panel Bus Stop Type 3,,,,-37.8181059,144.9619763819388,,,,1,1,0,,,,,,"{""coordinates"": [144.9619763819388, -37.81810589679171], ""type"": ""Point""}",0,42.39381829,331,Signage,Sign - Public Transport,5041,,527935,,Sign - Public Transport 1 Panel,1245405,20170,,P.16
1370841,21,"-37.82793320904311, 144.90887617925307",Sign - Public Transport 1 Panel Bus Stop Type 3,,,,-37.82793321,144.90887617925307,,,,1,1,0,,,,,,"{""coordinates"": [144.90887617925307, -37.82793320904311], ""type"": ""Point""}",0,36.91007002,100,Signage,Sign - Public Transport,7599,,586084,,Sign - Public Transport 1 Panel,1370841,22170,,P.16
