id,map_id,address,description,pic,link,icon,lat,lng,anim,title,infoopen,category,approved,retina,type,did,sticky,other_data,layergroup,Custom Field: GIS_ID,Custom Field: DESCRIPTION_BIKE,Custom Field: ASSET_CLASS,Custom Field: ASSET_TYPE,Custom Field: MODEL_NO,Custom Field: MODEL_DESCR,Custom Field: DIVISION,Custom Field: COMPANY,Custom Field: CONDITION_RATING,Custom Field: EVALUATION_DATE,Custom Field: EASTING,Custom Field: NORTHING,Custom Field: UploadDate
1546837,21,"-37.794841537816446, 144.9744849265172","Station Street between Kay Street and Princes Street approximately 5m West of 108 Station Street, Carlton, 3053",,,,-37.79484154,144.9744849265172,,,0,Bicycle Rails,1,1,,,,,,1546837,Bicycle Rails - Galvanised Steel Bicycle Rail,Outdoor Furniture,Bicycle Rails,200101-002,Bicycle Rails - Galvanised Steel Bicycle Rail,Infrastructure and Assets,City of Melbourne,2.5,30/4/2021,321661.57,5815015.04,14/8/2021
1769856,21,"-37.80187222276875, 144.96066081196045","University Square approximately 21m West of Former Lane, Former Lane, 174 Leicester Street, Carlton, 3053",,,,-37.80187222,144.96066081196045,,,0,Bicycle Rails,1,1,,,,,,1769856,Bicycle Rails - Stainless Steel Bicycle Hoop - University Square,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Parks and City Greening,City of Melbourne,5.0,9/1/2019,320461.31,5814208.4,14/8/2021
1587879,21,"-37.79323691835967, 144.97143371516603","Carlton Baths approximately 18m South of Carlton Baths, 248 Rathdowne Street, Carlton, 3053",,,,-37.79323692,144.97143371516603,,,0,Bicycle Rails,1,1,,,,,,1587879,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,1.69,30/4/2021,321389.03,5815187.27,14/8/2021
1755863,21,"-37.80418948435006, 144.96084671505523","Queensberry Street between Bouverie Street and Leicester Street approximately 7m West of Queensberry Childrens Centre, Gnd & Flr1, 224-252 Queensberry Street, Carlton, 3053",,,,-37.80418948,144.96084671505525,,,0,Bicycle Rails,1,1,,,,,,1755863,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,4.59,30/4/2021,320483.29,5813951.62,14/8/2021
1074911,21,"-37.804799675346835, 144.96034221723923","Leicester Street between Berkeley Street and Queensberry Street approximately 35m NE of Diabetes Victoria, Ground, 51 Leicester Street, Carlton, 3053",,,,-37.80479968,144.96034221723923,,,0,Bicycle Rails,1,1,,,,,,1074911,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,2.96,30/4/2021,320440.35,5813882.94,14/8/2021
1473548,21,"-37.79867040461957, 144.96894006102556","Drummond Street between Faraday Street and Elgin Street approximately 2m NW of CMY, 304 Drummond Street, Carlton, 3053",,,,-37.7986704,144.96894006102556,,,0,Bicycle Rails,1,1,,,,,,1473548,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,2.91,30/4/2021,321182.55,5814579.57,14/8/2021
1378407,21,"-37.79598204358283, 144.96794435033715","Palmerston Street between Drummond Street and Lygon Street approximately 21m North of 450 Lygon Street, Carlton, 3053",,,,-37.79598204,144.96794435033715,,,0,Bicycle Rails,1,1,,,,,,1378407,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,2.92,30/4/2021,321088.39,5814875.98,14/8/2021
1546077,21,"-37.79522868315055, 144.97263083971427","Kay Street between Canning Street and Rathdowne Street approximately 5m North of 69 Kay Street, Carlton, 3053",,,,-37.79522868,144.97263083971427,,,0,Bicycle Rails,1,1,,,,,,1546077,Bicycle Rails - Galvanised Steel Bicycle Rail,Outdoor Furniture,Bicycle Rails,200101-002,Bicycle Rails - Galvanised Steel Bicycle Rail,Infrastructure and Assets,City of Melbourne,2.13,30/4/2021,321499.24,5814968.54,14/8/2021
1546847,21,"-37.79476721706134, 144.97438168166175","Station Street between Kay Street and Princes Street approximately 6m East of 107 Station Street, Carlton, 3053",,,,-37.79476722,144.97438168166175,,,0,Bicycle Rails,1,1,,,,,,1546847,Bicycle Rails - Galvanised Steel Bicycle Rail,Outdoor Furniture,Bicycle Rails,200101-002,Bicycle Rails - Galvanised Steel Bicycle Rail,Infrastructure and Assets,City of Melbourne,2.5,30/4/2021,321652.3,5815023.09,14/8/2021
1074817,21,"-37.806767827277476, 144.9649925668913","Victoria Street between Lygon Street and Cardigan Street approximately 16m East of Royal Melbourne Institute Of Technology, 80-92 Victoria Street, Carlton, 3053",,,,-37.80676783,144.9649925668913,,,0,Bicycle Rails,1,1,,,,,,1074817,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,3.15,30/4/2021,320854.54,5813673.47,14/8/2021
1588697,21,"-37.79554858202352, 144.9743684018212","Station Street between Palmerston Street and Kay Street approximately 5m West of 88 Station Street, Carlton, 3053",,,,-37.79554858,144.9743684018212,,,0,Bicycle Rails,1,1,,,,,,1588697,Bicycle Rails - Galvanised Steel Bicycle Rail,Outdoor Furniture,Bicycle Rails,200101-002,Bicycle Rails - Galvanised Steel Bicycle Rail,Infrastructure and Assets,City of Melbourne,2.5,30/4/2021,321653.01,5814936.36,14/8/2021
1477524,21,"-37.802209015124504, 144.96027186255665","Pelham Street between Leicester Street and Barry Street approximately 5m NW of Telstra Carlton Exchange, 183 Pelham Street, Carlton, 3053",,,,-37.80220902,144.96027186255665,,,0,Bicycle Rails,1,1,,,,,,1477524,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,3.12,30/4/2021,320427.88,5814170.28,14/8/2021
1546103,21,"-37.795067440972446, 144.97282331225446","Kay Street between Canning Street and Rathdowne Street approximately 5m South of 62 Kay Street, Carlton, 3053",,,,-37.79506744,144.97282331225446,,,0,Bicycle Rails,1,1,,,,,,1546103,Bicycle Rails - Galvanised Steel Bicycle Rail,Outdoor Furniture,Bicycle Rails,200101-002,Bicycle Rails - Galvanised Steel Bicycle Rail,Infrastructure and Assets,City of Melbourne,2.13,30/4/2021,321515.8,5814986.8,14/8/2021
1753965,21,"-37.802391172801784, 144.96676138451198","Lygon Street between Pelham Street and Argyle Place North approximately 5m West of Players On Lygon, Ground, 200 Lygon Street, Carlton, 3053",,,,-37.80239117,144.96676138451198,,,0,Bicycle Rails,1,1,,,,,,1753965,Bicycle Rails - Stainless Steel Bicycle Hoop,Outdoor Furniture,Bicycle Rails,200101-004,Bicycle Rails - Stainless Steel Bicycle Hoop,Infrastructure and Assets,City of Melbourne,3.17,30/4/2021,320999.7,5814162.52,14/8/2021
