census_year,block_id,property_id,base_property_id,building_address,clue_small_area,trading_name,business_address,industry_anzsic4_code,industry_anzsic4_description,seating_type,number_of_seats,longitude,latitude,location
2023,781,110551,110551,49-89 Turner Street PORT MELBOURNE VIC 3207,Port Melbourne,Hall St Cafe,"Suite 91, 21 Hall Street PORT MELBOURNE VIC 3207",4511,Cafes and Restaurants,Seats - Indoor,59,144.92538784375154,-37.8230279918,"{'lon': 144.92538784375154, 'lat': -37.8230279918}"
2023,785,110535,110535,263-329 Lorimer Street PORT MELBOURNE VIC 3207,Port Melbourne,Pier 35 Bar & Grill,"Suite 4, Pier 35 263-329 Lorimer Street PORT MELBOURNE VIC 3207",4511,Cafes and Restaurants,Seats - Outdoor,90,144.90453434623163,-37.82519348865,"{'lon': 144.90453434623163, 'lat': -37.82519348865}"
2023,790,559302,559302,187 Todd Road PORT MELBOURNE VIC 3207,Port Melbourne,Mr & Mrs Pickles,"Part Ground, 187 Todd Road PORT MELBOURNE VIC 3207",4511,Cafes and Restaurants,Seats - Outdoor,12,144.91056664135849,-37.82639283455,"{'lon': 144.91056664135849, 'lat': -37.82639283455}"
2023,801,110326,110326,4 Riverside Quay SOUTHBANK VIC 3006,Southbank,Hopscotch,"Shop 4, 4 Riverside Quay SOUTHBANK VIC 3006",4511,Cafes and Restaurants,Seats - Outdoor,200,144.96337409882022,-37.82092446995,"{'lon': 144.96337409882022, 'lat': -37.82092446995}"
2023,801,110335,110335,1-9 Southbank Boulevard SOUTHBANK VIC 3006,Southbank,Old Man Pho,Part Rear Ground 1 Southbank Boulevard SOUTHBANK VIC 3006,4511,Cafes and Restaurants,Seats - Outdoor,12,144.96286670927697,-37.82103934615,"{'lon': 144.96286670927697, 'lat': -37.82103934615}"
2023,801,559161,559161,Eureka Tower 3-7 Riverside Quay SOUTHBANK VIC 3006,Southbank,Belgian Beer Cafe Melbourne,5 Riverside Quay SOUTHBANK VIC 3006,4520,"Pubs, Taverns and Bars",Seats - Indoor,150,144.9645386201,-37.82168057084684,"{'lon': 144.9645386201, 'lat': -37.82168057084684}"
2023,802,575820,575820,Freshwater Place Residential 1-9 Freshwater Place SOUTHBANK VIC 3006,Southbank,McDonalds,"Shop 4R, 3 Freshwater Place SOUTHBANK VIC 3006",4511,Cafes and Restaurants,Seats - Indoor,82,144.96218255388226,-37.8217150891,"{'lon': 144.96218255388226, 'lat': -37.8217150891}"
2023,802,575820,575820,Freshwater Place Residential 1-9 Freshwater Place SOUTHBANK VIC 3006,Southbank,Crintis Southbank,Shop 5R & 7R 3 Freshwater Place SOUTHBANK VIC 3006,4511,Cafes and Restaurants,Seats - Outdoor,38,144.96218255388226,-37.8217150891,"{'lon': 144.96218255388226, 'lat': -37.8217150891}"
2023,802,575820,575820,Freshwater Place Residential 1-9 Freshwater Place SOUTHBANK VIC 3006,Southbank,V P R Vietnamese Pork Roll,"Part Shop 19R, 3 Freshwater Place SOUTHBANK VIC 3006",4512,Takeaway Food Services,Seats - Indoor,12,144.96218255388226,-37.8217150891,"{'lon': 144.96218255388226, 'lat': -37.8217150891}"
2023,803,111175,110477,Crown Entertainment Complex 8 Whiteman Street SOUTHBANK VIC 3006,Southbank,Gochi,"Shop 27, Ground 8 Whiteman Street SOUTHBANK VIC 3006",4511,Cafes and Restaurants,Seats - Indoor,40,144.95833415319856,-37.8231615915,"{'lon': 144.95833415319856, 'lat': -37.8231615915}"
2023,803,111175,110477,Crown Entertainment Complex 8 Whiteman Street SOUTHBANK VIC 3006,Southbank,Kitchen Workshop,"Shop 85, Ground 8 Whiteman Street SOUTHBANK VIC 3006",4511,Cafes and Restaurants,Seats - Indoor,260,144.95833415319856,-37.8231615915,"{'lon': 144.95833415319856, 'lat': -37.8231615915}"
2023,803,111175,110477,Crown Entertainment Complex 8 Whiteman Street SOUTHBANK VIC 3006,Southbank,Man Tong Kitchen,"Shop 46B, Level 1 8 Whiteman Street SOUTHBANK VIC 3006",4511,Cafes and Restaurants,Seats - Indoor,180,144.95833415319856,-37.8231615915,"{'lon': 144.95833415319856, 'lat': -37.8231615915}"
2023,803,111175,110477,Crown Entertainment Complex 8 Whiteman Street SOUTHBANK VIC 3006,Southbank,Rockpool Bar & Grill Melbourne,"Shop 1, Ground 8 Whiteman Street SOUTHBANK VIC 3006",4511,Cafes and Restaurants,Seats - Indoor,300,144.95833415319856,-37.8231615915,"{'lon': 144.95833415319856, 'lat': -37.8231615915}"
2023,804,110542,110484,South Wharf Retail 20-30 Convention Centre Place SOUTH WHARF VIC 3006,Southbank,Oporto,Shop TB105A 20 Convention Centre Place SOUTH WHARF VIC 3006,4511,Cafes and Restaurants,Seats - Indoor,32,144.95231929429832,-37.8254299844,"{'lon': 144.95231929429832, 'lat': -37.8254299844}"
2023,804,110542,110484,South Wharf Retail 20-30 Convention Centre Place SOUTH WHARF VIC 3006,Southbank,Bohemian Wine Bar,Shop TG03 20 Convention Centre Place SOUTH WHARF VIC 3006,4511,Cafes and Restaurants,Seats - Indoor,85,144.95231929429832,-37.8254299844,"{'lon': 144.95231929429832, 'lat': -37.8254299844}"
2023,804,110988,110988,29-65 South Wharf Promenade SOUTH WHARF VIC 3006,Southbank,Charlie Lovett,43 South Wharf Promenade SOUTH WHARF VIC 3006,4511,Cafes and Restaurants,Seats - Indoor,70,144.9506146124694,-37.82411173505,"{'lon': 144.9506146124694, 'lat': -37.82411173505}"
2023,806,110343,640947,Crown Casino Retail Precinct 27-45 Whiteman Street SOUTHBANK VIC 3006,Southbank,KFC,"Shop 102, Level 1 27 Whiteman Street SOUTHBANK VIC 3006",4511,Cafes and Restaurants,Seats - Indoor,75,144.95844221541506,-37.82540402895,"{'lon': 144.95844221541506, 'lat': -37.82540402895}"
2023,811,110362,110362,WRAP Residences 133-139 City Road SOUTHBANK VIC 3006,Southbank,Dee Casa,139 City Road SOUTHBANK VIC 3006,4511,Cafes and Restaurants,Seats - Indoor,40,144.96358260049746,-37.82348397895,"{'lon': 144.96358260049746, 'lat': -37.82348397895}"
2023,850,101101,101101,Alexandra Gardens Alexandra Avenue MELBOURNE VIC 3004,Melbourne (Remainder),Riverslide Skate Park,Residence Alexandra Gardens Alexandra Avenue MELBOURNE VIC 3004,9113,"Sports and Physical Recreation Venues, Grounds and Facilities Operation",Seats - Indoor,10,144.9725362248107,-37.82087846865,"{'lon': 144.9725362248107, 'lat': -37.82087846865}"
2023,852,101100,101100,Royal Botanic Gardens Victoria Birdwood Avenue MELBOURNE VIC 3004,Melbourne (Remainder),Jardin Tan,Restaurant Old Observatory Building Royal Botanic Gardens Birdwood Avenue MELBOURNE VIC 3004,4511,Cafes and Restaurants,Seats - Outdoor,207,144.98128178284256,-37.829521399049995,"{'lon': 144.98128178284256, 'lat': -37.829521399049995}"
2023,870,102178,102178,Alfred Hospital 23-99 Commercial Road PRAHRAN VIC 3181,Melbourne (Remainder),Alf's Cafe,"Shop 2-3, 55 Commercial Road MELBOURNE VIC 3004",4511,Cafes and Restaurants,Seats - Outdoor,130,144.98281620023937,-37.8465702986,"{'lon': 144.98281620023937, 'lat': -37.8465702986}"
2023,919,103256,103256,Victorian Comprehensive Cancer Centre 301-327 Grattan Street MELBOURNE VIC 3000,Parkville,Sargon Food And Coffee,327 Grattan Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,15,144.95667136729958,-37.80018542705,"{'lon': 144.95667136729958, 'lat': -37.80018542705}"
2023,931,103908,103908,Royal Childrens Hospital 48-50 Flemington Road PARKVILLE VIC 3052,Parkville,Dr Brew Cafe,"Tenancy A, Ground 50 Flemington Road PARKVILLE VIC 3052",4511,Cafes and Restaurants,Seats - Outdoor,20,144.9495225654,-37.79363102715632,"{'lon': 144.9495225654, 'lat': -37.79363102715632}"
2023,1101,108845,108845,Grand Central Apartments 33-71 Spencer Street DOCKLANDS VIC 3008,Docklands,Gaylord Indian Restaurant,Restaurant 33 Spencer Street DOCKLANDS VIC 3008,4511,Cafes and Restaurants,Seats - Indoor,150,144.95420016165,-37.82017729951458,"{'lon': 144.95420016165, 'lat': -37.82017729951458}"
2023,1101,108847,108847,285-313 Spencer Street DOCKLANDS VIC 3008,Docklands,Code 3,"Shop 1, 313 Spencer Street DOCKLANDS VIC 3008",4511,Cafes and Restaurants,Seats - Outdoor,66,144.95101684626547,-37.813807038700006,"{'lon': 144.95101684626547, 'lat': -37.813807038700006}"
2023,1101,108847,108847,285-313 Spencer Street DOCKLANDS VIC 3008,Docklands,Ichi Maki,"Shop 2, 313 Spencer Street DOCKLANDS VIC 3008",4512,Takeaway Food Services,Seats - Indoor,12,144.95101684626547,-37.813807038700006,"{'lon': 144.95101684626547, 'lat': -37.813807038700006}"
2023,1101,108973,108973,Southern Cross Station 85-161 Spencer Street DOCKLANDS VIC 3008,Docklands,Papparich,"Shop 3A, Level 1 650 Collins Street DOCKLANDS VIC 3008",4511,Cafes and Restaurants,Seats - Indoor,24,144.95222688975,-37.81841172740791,"{'lon': 144.95222688975, 'lat': -37.81841172740791}"
