Latitude,Longitude,Geo Shape,prop_id,no_smoking,level_1_na,addresspt1,event,full_name,addressp_1,training,dog_prohib,dog_off_le,venue_recn,addresspt_,sport,promotion,bookable,level_3_na,wedding,roadseg_id,sustainabi,level_2_na,Title,description,Category,Approved,Address,Seats,Venue_Type,Indoor_Outdoor,Description
-37.82711468,144.9730219,"{""coordinates"":[144.973021941446,-37.82711468437653],""type"":""Point""}",108615,N,Kings Domain,0.0,Y,Kings Domain:  KD - Lawn 12,0,Y,N,N,187,0,,,Y,,N,0,M,KD - Lawn 12,Kings Domain:  KD - Lawn 12,Event: Y | Bookable: Y | Region: Kings Domain,Venues,1,,,,,
-37.827645,144.9737296,"{""coordinates"":[144.97372963396307,-37.82764499797872],""type"":""Point""}",111029,N,Kings Domain,90.53486025,Y,Kings Domain:  KD - Lawn 13,18,N,N,N,188,111030,,,Y,,N,0,M,KD - Lawn 13,Kings Domain:  KD - Lawn 13,Event: Y | Bookable: Y | Region: Kings Domain,Venues,1,,,,,
-37.82868852,144.9673607,"{""coordinates"":[144.9673606957155,-37.828688522604],""type"":""Point""}",111526,N,Other Park Locations,1.87644942,Y,Other Park Locations:  Miles & Dodds St Reserve,161,N,N,N,380,111526,,,Y,,N,0,L,Miles & Dodds St Reserve,Other Park Locations:  Miles & Dodds St Reserve,Event: Y | Bookable: Y | Region: Other Park Locations,Venues,1,,,,,
-37.82980314,144.9648536,"{""coordinates"":[144.96485355506087,-37.829803138137365],""type"":""Point""}",110628,N,Other Park Locations,36.46091337,Y,Other Park Locations:  Sturt Street Reserve,335,N,N,N,396,110628,,,Y,,N,0,L,Sturt Street Reserve,Other Park Locations:  Sturt Street Reserve,Event: Y | Bookable: Y | Region: Other Park Locations,Venues,1,,,,,
-37.83069807,144.9875327,"{""coordinates"":[144.9875327281599,-37.83069806878039],""type"":""Point""}",111334,N,Other Park Locations,12.70122202,Y,Other Park Locations:  Golden Elm Triangle Reserve,271,N,N,N,362,111334,,,Y,,N,0,L,Golden Elm Triangle Reserve,Other Park Locations:  Golden Elm Triangle Reserve,Event: Y | Bookable: Y | Region: Other Park Locations,Venues,1,,,,,
-37.83686941,144.976319,"{""coordinates"":[144.97631903062583,-37.83686941272227],""type"":""Point""}",587425,N,Other Park Locations,31.95759795,Y,Other Park Locations:  Toorak & St Kilda Road,48,N,N,N,399,109540,,,Y,,N,0,L,Toorak & St Kilda Road,Other Park Locations:  Toorak & St Kilda Road,Event: Y | Bookable: Y | Region: Other Park Locations,Venues,1,,,,,
-37.83786569,144.9782126,"{""coordinates"":[144.97821259791684,-37.83786569290351],""type"":""Point""}",103756,N,Fawkner Park,75.91984284,Y,Fawkner Park:  FP - Lawn 2,79,Y,N,N,48,578355,N,,Y,,N,0,M,FP - Lawn 2,Fawkner Park:  FP - Lawn 2,Event: Y | Bookable: Y | Region: Fawkner Park,Venues,1,,,,,
-37.83796194,144.9778834,"{""coordinates"":[144.97788337151445,-37.837961944061746],""type"":""Point""}",103756,N,Fawkner Park,95.92767716,Y,Fawkner Park:  FP - Lawn 3,64,Y,N,Y,49,578355,N,,Y,,N,0,M,FP - Lawn 3,Fawkner Park:  FP - Lawn 3,Event: Y | Bookable: Y | Region: Fawkner Park,Venues,1,,,,,
-37.83930867,144.9798343,"{""coordinates"":[144.9798342931686,-37.839308670086034],""type"":""Point""}",103756,Y,Fawkner Park,0.0,N,Fawkner Park:  FP - Lawn 17_SB1_SB2_Ct2_S7,0,N,N,N,63,0,Y,,Y,,N,0,M,FP - Lawn 17_SB1_SB2_Ct2_S7,Fawkner Park:  FP - Lawn 17_SB1_SB2_Ct2_S7,Event: N | Bookable: Y | Region: Fawkner Park,Venues,1,,,,,
-37.83979472,144.9840542,"{""coordinates"":[144.9840541673097,-37.83979471792946],""type"":""Point""}",103756,Y,Fawkner Park,0.0,N,Fawkner Park:  FP - Lawn 13_SB9_SB10_Cs7_SUB3,0,N,N,N,82,0,Y,,Y,,N,0,M,FP - Lawn 13_SB9_SB10_Cs7_SUB3,Fawkner Park:  FP - Lawn 13_SB9_SB10_Cs7_SUB3,Event: N | Bookable: Y | Region: Fawkner Park,Venues,1,,,,,
-37.83985719,144.9818353,"{""coordinates"":[144.98183534800913,-37.83985718618082],""type"":""Point""}",103756,N,Fawkner Park,3.99128603,N,Fawkner Park:  FP - Northern Pavilion East,111,N,N,N,1355,587543,Y,,Y,,N,0,M,FP - Northern Pavilion East,Fawkner Park:  FP - Northern Pavilion East,Event: N | Bookable: Y | Region: Fawkner Park,Venues,1,,,,,
-37.83991855,144.9790326,"{""coordinates"":[144.97903255227487,-37.83991854635422],""type"":""Point""}",103756,N,Fawkner Park,0.0,Y,Fawkner Park:  FP - Lawn 18_SB4_SB3_S4,0,N,N,Y,64,0,Y,,Y,,N,0,M,FP - Lawn 18_SB4_SB3_S4,Fawkner Park:  FP - Lawn 18_SB4_SB3_S4,Event: Y | Bookable: Y | Region: Fawkner Park,Venues,1,,,,,
-37.84036621,144.9825785,"{""coordinates"":[144.9825785045082,-37.84036620841432],""type"":""Point""}",103756,N,Fawkner Park,89.91851442,Y,Fawkner Park:  FP - Lawn 15_SB7_SUB1,139,Y,N,N,61,587543,Y,,Y,,N,0,M,FP - Lawn 15_SB7_SUB1,Fawkner Park:  FP - Lawn 15_SB7_SUB1,Event: Y | Bookable: Y | Region: Fawkner Park,Venues,1,,,,,
-37.84074087,144.983733,"{""coordinates"":[144.98373298006237,-37.840740868214844],""type"":""Point""}",103756,Y,Fawkner Park,0.0,Y,Fawkner Park:  FP - Lawn 14_SUB2_Grass Netball Courts,0,N,N,N,60,0,Y,,Y,,N,0,M,FP - Lawn 14_SUB2_Grass Netball Courts,Fawkner Park:  FP - Lawn 14_SUB2_Grass Netball Courts,Event: Y | Bookable: Y | Region: Fawkner Park,Venues,1,,,,,
-37.84179927,144.9823774,"{""coordinates"":[144.98237744450677,-37.84179927057013],""type"":""Point""}",103756,N,Fawkner Park,0.0,N,Fawkner Park:  FP - Lawn 16 North West_SB6_Cs6,0,N,N,N,89,0,Y,,Y,,N,0,M,FP - Lawn 16 North West_SB6_Cs6,Fawkner Park:  FP - Lawn 16 North West_SB6_Cs6,Event: N | Bookable: Y | Region: Fawkner Park,Venues,1,,,,,
-37.84179927,144.9823774,"{""coordinates"":[144.98237744450677,-37.84179927057013],""type"":""Point""}",103756,N,Fawkner Park,0.0,N,Fawkner Park:  FP - Lawn 16 South West_Cs4_S1,0,N,N,N,90,0,Y,,Y,,N,0,M,FP - Lawn 16 South West_Cs4_S1,Fawkner Park:  FP - Lawn 16 South West_Cs4_S1,Event: N | Bookable: Y | Region: Fawkner Park,Venues,1,,,,,
-37.84179927,144.9823774,"{""coordinates"":[144.98237744450677,-37.84179927057013],""type"":""Point""}",103756,N,Fawkner Park,0.0,N,Fawkner Park:  FP - Lawn 16 North East_SB5_Cs5,0,N,N,N,62,0,Y,,Y,,N,0,M,FP - Lawn 16 North East_SB5_Cs5,Fawkner Park:  FP - Lawn 16 North East_SB5_Cs5,Event: N | Bookable: Y | Region: Fawkner Park,Venues,1,,,,,
-37.84179927,144.9823774,"{""coordinates"":[144.98237744450677,-37.84179927057013],""type"":""Point""}",103756,N,Fawkner Park,0.0,N,Fawkner Park:  FP - Lawn 16 South East_T10_S5,0,N,N,N,91,0,Y,,Y,,N,0,M,FP - Lawn 16 South East_T10_S5,Fawkner Park:  FP - Lawn 16 South East_T10_S5,Event: N | Bookable: Y | Region: Fawkner Park,Venues,1,,,,,
-37.84207961,144.9803618,"{""coordinates"":[144.98036176101897,-37.84207961445361],""type"":""Point""}",103756,N,Fawkner Park,0.0,N,Fawkner Park:  FP - Lawn 19 South_ T4_Ct5_S6,0,N,N,Y,74,0,Y,,Y,,N,0,M,FP - Lawn 19 South_ T4_Ct5_S6,Fawkner Park:  FP - Lawn 19 South_ T4_Ct5_S6,Event: N | Bookable: Y | Region: Fawkner Park,Venues,1,,,,,
-37.84207961,144.9803618,"{""coordinates"":[144.98036176101897,-37.84207961445361],""type"":""Point""}",103756,N,Fawkner Park,0.0,N,Fawkner Park:  FP - Lawn 19 North_SB8_Ct1_S8_F1,0,N,N,Y,71,0,Y,,Y,,N,0,M,FP - Lawn 19 North_SB8_Ct1_S8_F1,Fawkner Park:  FP - Lawn 19 North_SB8_Ct1_S8_F1,Event: N | Bookable: Y | Region: Fawkner Park,Venues,1,,,,,
-37.84257425,144.9829361,"{""coordinates"":[144.98293613155118,-37.84257424668199],""type"":""Point""}",103756,N,Fawkner Park,0.0,N,Fawkner Park:  FP - Cordner_T1_T2_T3_F2_Ct3,0,N,N,N,1354,0,Y,,Y,,N,0,M,FP - Cordner_T1_T2_T3_F2_Ct3,Fawkner Park:  FP - Cordner_T1_T2_T3_F2_Ct3,Event: N | Bookable: Y | Region: Fawkner Park,Venues,1,,,,,
-37.84314053,144.9817215,"{""coordinates"":[144.98172146083033,-37.84314053115123],""type"":""Point""}",103756,N,Fawkner Park,3.76647007,N,Fawkner Park:  FP - Southern Pavilion Social Area,242,N,N,Y,428,587544,Y,,Y,,N,0,M,FP - Southern Pavilion Social Area,Fawkner Park:  FP - Southern Pavilion Social Area,Event: N | Bookable: Y | Region: Fawkner Park,Venues,1,,,,,
-37.84314053,144.9817215,"{""coordinates"":[144.98172146083033,-37.84314053115123],""type"":""Point""}",103756,N,Fawkner Park,3.76647007,N,Fawkner Park:  FP - Southern Pavilion Changerooms,242,N,N,Y,104,587544,Y,,Y,,N,0,M,FP - Southern Pavilion Changerooms,Fawkner Park:  FP - Southern Pavilion Changerooms,Event: N | Bookable: Y | Region: Fawkner Park,Venues,1,,,,,
-37.84404354,144.9836025,"{""coordinates"":[144.98360246627576,-37.8440435375902],""type"":""Point""}",103756,N,Fawkner Park,77.17142923,N,Fawkner Park:  FP - Lawn 22_Cs3_S2,2,N,N,Y,68,107448,Y,,Y,,N,0,M,FP - Lawn 22_Cs3_S2,Fawkner Park:  FP - Lawn 22_Cs3_S2,Event: N | Bookable: Y | Region: Fawkner Park,Venues,1,,,,,
