census_year,block_id,property_id,base_property_id,building_address,clue_small_area,trading_name,business_address,industry_anzsic4_code,industry_anzsic4_description,seating_type,number_of_seats,lng,lat,location,map_id,infoopen,category,approved,retina
2023,270,664638,104468,Arts Centre Building 199 757 Swanston Street PARKVILLE VIC 3010,Parkville,Scholar & Co,Part Ground Arts Centre Building 199 University of Melbourne 757 Swanston Street PARKVILLE VIC 3010,4512,Takeaway Food Services,Seats - Outdoor,40,144.96120873245002,-37.79677209594333,"{'lon': 144.96120873245002, 'lat': -37.79677209594333}",21,0,"Hospitality, Seats - Outdoor, Medium (21-50 seats), Takeaway Food Services",1,1
2023,326,104588,104588,38-48 Haines Street NORTH MELBOURNE VIC 3051,North Melbourne,North Melbourne Fish & Chips,38 Haines Street NORTH MELBOURNE VIC 3051,4512,Takeaway Food Services,Seats - Indoor,7,144.9466997831688,-37.798230784,"{'lon': 144.9466997831688, 'lat': -37.798230784}",21,0,"Hospitality, Seats - Indoor, Small (1-20 seats), Takeaway Food Services",1,1
2023,345,103392,103392,1-5 Errol Street NORTH MELBOURNE VIC 3051,North Melbourne,Manze,"Shop 2, 1-5 Errol Street NORTH MELBOURNE VIC 3051",4511,Cafes and Restaurants,Seats - Indoor,24,144.94898009678357,-37.804884961499994,"{'lon': 144.94898009678357, 'lat': -37.804884961499994}",21,0,"Hospitality, Seats - Indoor, Medium (21-50 seats), Cafes and Restaurants",1,1
2023,345,103401,103401,31 Errol Street NORTH MELBOURNE VIC 3051,North Melbourne,S & J Sushi Noodle Town,31 Errol Street NORTH MELBOURNE VIC 3051,4511,Cafes and Restaurants,Seats - Outdoor,24,144.94890808847305,-37.8043024143,"{'lon': 144.94890808847305, 'lat': -37.8043024143}",21,0,"Hospitality, Seats - Outdoor, Medium (21-50 seats), Cafes and Restaurants",1,1
2023,345,103408,103408,49 Errol Street NORTH MELBOURNE VIC 3051,North Melbourne,Dong Xing Asian Food & Sushi Noodle Bar,49 Errol Street NORTH MELBOURNE VIC 3051,4512,Takeaway Food Services,Seats - Outdoor,8,144.94901817240589,-37.8038617803,"{'lon': 144.94901817240589, 'lat': -37.8038617803}",21,0,"Hospitality, Seats - Outdoor, Small (1-20 seats), Takeaway Food Services",1,1
2023,354,103520,103520,34 Errol Street NORTH MELBOURNE VIC 3051,North Melbourne,KL Bunga Raya,Ground 34 Errol Street NORTH MELBOURNE VIC 3051,4511,Cafes and Restaurants,Seats - Indoor,30,144.9497258011345,-37.80435618125,"{'lon': 144.9497258011345, 'lat': -37.80435618125}",21,0,"Hospitality, Seats - Indoor, Medium (21-50 seats), Cafes and Restaurants",1,1
2023,361,109837,109837,268-276 Victoria Street NORTH MELBOURNE VIC 3051,North Melbourne,The Galbi,270 Victoria Street NORTH MELBOURNE VIC 3051,4511,Cafes and Restaurants,Seats - Indoor,45,144.9573904540356,-37.80580417775,"{'lon': 144.9573904540356, 'lat': -37.80580417775}",21,0,"Hospitality, Seats - Indoor, Medium (21-50 seats), Cafes and Restaurants",1,1
2023,362,103244,103244,587-589 Elizabeth Street MELBOURNE VIC 3000,North Melbourne,BBQ Brothers 10,"Shop 1-2, 589 Elizabeth Street MELBOURNE VIC 3000",4511,Cafes and Restaurants,Seats - Indoor,76,144.95812418993222,-37.80460722855,"{'lon': 144.95812418993222, 'lat': -37.80460722855}",21,0,"Hospitality, Seats - Indoor, Large (51-200 seats), Cafes and Restaurants",1,1
2023,423,109719,109719,357 Victoria Street WEST MELBOURNE VIC 3003,West Melbourne (Residential),Smile Thai Cuisine,357 Victoria Street WEST MELBOURNE VIC 3003,4511,Cafes and Restaurants,Seats - Outdoor,4,144.9496296823,-37.80538587952299,"{'lon': 144.9496296823, 'lat': -37.80538587952299}",21,0,"Hospitality, Seats - Outdoor, Small (1-20 seats), Cafes and Restaurants",1,1
2023,423,109721,109721,361-365 Victoria Street WEST MELBOURNE VIC 3003,West Melbourne (Residential),Three Crowns Hotel,361-365 Victoria Street WEST MELBOURNE VIC 3003,4520,"Pubs, Taverns and Bars",Seats - Indoor,189,144.9494666095,-37.80539722383966,"{'lon': 144.9494666095, 'lat': -37.80539722383966}",21,0,"Hospitality, Seats - Indoor, Large (51-200 seats), Pubs, Taverns and Bars",1,1
2023,919,103256,103256,Victorian Comprehensive Cancer Centre 301-327 Grattan Street MELBOURNE VIC 3000,Parkville,Sargon Food And Coffee,327 Grattan Street MELBOURNE VIC 3000,4511,Cafes and Restaurants,Seats - Outdoor,15,144.95667136729958,-37.80018542705,"{'lon': 144.95667136729958, 'lat': -37.80018542705}",21,0,"Hospitality, Seats - Outdoor, Small (1-20 seats), Cafes and Restaurants",1,1
2023,931,103908,103908,Royal Childrens Hospital 48-50 Flemington Road PARKVILLE VIC 3052,Parkville,Dr Brew Cafe,"Tenancy A, Ground 50 Flemington Road PARKVILLE VIC 3052",4511,Cafes and Restaurants,Seats - Outdoor,20,144.9495225654,-37.79363102715632,"{'lon': 144.9495225654, 'lat': -37.79363102715632}",21,0,"Hospitality, Seats - Outdoor, Small (1-20 seats), Cafes and Restaurants",1,1
2023,2392,617402,617402,11-41 Melrose Street NORTH MELBOURNE VIC 3051,North Melbourne,Melrose Place NM,15 Melrose Street NORTH MELBOURNE VIC 3051,4512,Takeaway Food Services,Seats - Indoor,8,144.9414035519,-37.79501732002552,"{'lon': 144.9414035519, 'lat': -37.79501732002552}",21,0,"Hospitality, Seats - Indoor, Small (1-20 seats), Takeaway Food Services",1,1
