id,no_smoking,level_1_na,addresspt1,event,title,addressp_1,training,dog_prohib,dog_off_le,venue_recn,addresspt,sport,promotion,bookable,level_3_na,wedding,roadseg_id,sustainabi,level_2_na,lng,lat,map_id,infoopen,category,approved,retina
107696,N,Princes Park,0.0,N,Princes Park:  PP - Ct1_F1,0,N,N,N,205,0,Y,,Y,,N,0,M,PP - Ct1_F1,144.9612568581,-37.7854898349,21,0,1,1,1
108268,N,Carlton Gardens,89.93045975,N,Carlton Gardens:  CG - Lawn 19,159,N,N,N,37,546082,,,Y,,Y,0,L,CG - Lawn 19,144.9720005902,-37.8069689117,21,0,1,1,1
107696,N,Princes Park,0.0,N,Princes Park:  PP - Nets (2) Tennis Courts,0,N,N,N,1342,0,Y,,Y,,N,0,M,PP - Nets (2) Tennis Courts,144.9625707875,-37.7858936329,21,0,1,1,1
102913,Y,Other Park Locations,29.86978579,Y,Other Park Locations:  Gardiner Reserve,29,N,N,N,360,102913,,,Y,,N,0,L,Gardiner Reserve,144.9437338669,-37.7991147294,21,0,1,1,1
107426,N,Royal Park,0.0,N,Royal Park:  RP - Lawn 13_Flem Road_Cs1_S3,0,N,N,N,257,0,Y,,Y,,N,0,L,RP - Lawn 13_Flem Road_Cs1_S3,144.947599066,-37.7921945171,21,0,1,1,1
107426,N,Royal Park,0.0,N,Royal Park:  RP - Lawn 6_Brens Ct_F4,0,N,N,N,253,0,Y,,Y,,N,0,L,RP - Lawn 6_Brens Ct_F4,144.9539297658,-37.7870039227,21,0,1,1,1
108269,N,Carlton Gardens,76.41511683,Y,Carlton Gardens:  CG - Lawn 1,83,N,N,N,19,101721,,,Y,,Y,0,L,CG - Lawn 1,144.9713921231,-37.8015091977,21,0,1,1,1
0,N,Other Park Locations,19.5985749,Y,Other Park Locations:  Howard & William St Reserve,343,N,N,N,370,110138,,,Y,,N,21382,L,Howard & William St Reserve,144.9536061427,-37.8064404657,21,0,1,1,1
108269,N,Carlton Gardens,0.0,N,Carlton Gardens:  CG - Lawn 2,0,N,N,N,20,0,,,Y,,Y,0,L,CG - Lawn 2,144.9720833644,-37.8018731794,21,0,1,1,1
108269,N,Carlton Gardens,0.0,Y,Carlton Gardens:  CG - Lawn 4,0,N,N,N,22,0,,,Y,,Y,0,L,CG - Lawn 4,144.9709400251,-37.8024803293,21,0,1,1,1
