lat,lng,Geo Shape,prop_id,no_smoking,level_1_na,addresspt1,event,full_name,addressp_1,training,dog_prohib,dog_off_le,venue_recn,addresspt_,sport,promotion,bookable,level_3_na,wedding,roadseg_id,sustainabi,level_2_na,Title,description,Category,Approved,Address,Seats,Venue_Type,Indoor_Outdoor,Description,map_id,infoopen,category,approved,retina
-37.78398402,144.9427921,"{""coordinates"":[144.9427921184255,-37.78398401734769],""type"":""Point""}",107426.0,Y,Royal Park,0.0,N,Royal Park:  RP - Ross Straw Field B2 West,0.0,N,N,N,265.0,0.0,Y,,Y,,N,0.0,L,RP - Ross Straw Field B2 West,Royal Park:  RP - Ross Straw Field B2 West,Event: N | Bookable: Y | Region: Royal Park,Venues,1,,,,,,21,0,Venues,1,1
-37.78398402,144.9427921,"{""coordinates"":[144.9427921184255,-37.78398401734769],""type"":""Point""}",107426.0,Y,Royal Park,0.0,N,Royal Park:  RP - Ross Straw Field 2 Sth_Ct,0.0,N,N,N,263.0,0.0,Y,,Y,,N,0.0,L,RP - Ross Straw Field 2 Sth_Ct,Royal Park:  RP - Ross Straw Field 2 Sth_Ct,Event: N | Bookable: Y | Region: Royal Park,Venues,1,,,,,,21,0,Venues,1,1
-37.78398402,144.9427921,"{""coordinates"":[144.9427921184255,-37.78398401734769],""type"":""Point""}",107426.0,Y,Royal Park,0.0,N,Royal Park:  RP - Ross Straw Field B1 East,0.0,N,N,N,264.0,0.0,Y,,Y,,N,0.0,L,RP - Ross Straw Field B1 East,Royal Park:  RP - Ross Straw Field B1 East,Event: N | Bookable: Y | Region: Royal Park,Venues,1,,,,,,21,0,Venues,1,1
-37.78533714,144.9615229,"{""coordinates"":[144.96152285042714,-37.78533714442047],""type"":""Point""}",107696.0,N,Princes Park,0.0,N,Princes Park:  PP - Jogging Track,0.0,N,N,Y,204.0,0.0,Y,,Y,,N,0.0,M,PP - Jogging Track,Princes Park:  PP - Jogging Track,Event: N | Bookable: Y | Region: Princes Park,Venues,1,,,,,,21,0,Venues,1,1
-37.78539829,144.9664796,"{""coordinates"":[144.96647963539363,-37.78539828659486],""type"":""Point""}",106380.0,N,Other Park Locations,41.56399607,Y,Other Park Locations:  Hardy Reserve,177.0,N,N,N,365.0,106380.0,,,Y,,N,0.0,L,Hardy Reserve,Other Park Locations:  Hardy Reserve,Event: Y | Bookable: Y | Region: Other Park Locations,Venues,1,,,,,,21,0,Venues,1,1
-37.78548983,144.9612569,"{""coordinates"":[144.96125685811245,-37.7854898349368],""type"":""Point""}",107696.0,N,Princes Park,0.0,N,Princes Park:  PP - Ct1_F1,0.0,N,N,N,205.0,0.0,Y,,Y,,N,0.0,M,PP - Ct1_F1,Princes Park:  PP - Ct1_F1,Event: N | Bookable: Y | Region: Princes Park,Venues,1,,,,,,21,0,Venues,1,1
-37.78556956,144.9426142,"{""coordinates"":[144.94261415211434,-37.78556955918817],""type"":""Point""}",107426.0,N,Royal Park,63.14398009,N,Royal Park:  RP - Ross Straw Field S5 (on Ross Straw BB),181.0,N,N,N,261.0,106428.0,Y,,Y,,N,0.0,L,RP - Ross Straw Field S5 (on Ross Straw BB),Royal Park:  RP - Ross Straw Field S5 (on Ross Straw BB),Event: N | Bookable: Y | Region: Royal Park,Venues,1,,,,,,21,0,Venues,1,1
-37.78557215,144.9554622,"{""coordinates"":[144.9554621837315,-37.78557214679238],""type"":""Point""}",107426.0,N,Royal Park,0.0,N,Royal Park:  RP - Lawn 6_Walker East_Ct2,0.0,N,N,N,277.0,0.0,Y,,Y,,N,0.0,L,RP - Lawn 6_Walker East_Ct2,Royal Park:  RP - Lawn 6_Walker East_Ct2,Event: N | Bookable: Y | Region: Royal Park,Venues,1,,,,,,21,0,Venues,1,1
-37.78557215,144.9554622,"{""coordinates"":[144.9554621837315,-37.78557214679238],""type"":""Point""}",107426.0,N,Royal Park,0.0,N,Royal Park:  RP - Lawn 6_Walker West_Ct1,0.0,N,N,N,276.0,0.0,Y,,Y,,N,0.0,L,RP - Lawn 6_Walker West_Ct1,Royal Park:  RP - Lawn 6_Walker West_Ct1,Event: N | Bookable: Y | Region: Royal Park,Venues,1,,,,,,21,0,Venues,1,1
-37.78557215,144.9554622,"{""coordinates"":[144.9554621837315,-37.78557214679238],""type"":""Point""}",107426.0,N,Royal Park,0.0,N,Royal Park:  RP - Lawn 6_Walker_M1,0.0,N,N,N,278.0,0.0,Y,,Y,,N,0.0,L,RP - Lawn 6_Walker_M1,Royal Park:  RP - Lawn 6_Walker_M1,Event: N | Bookable: Y | Region: Royal Park,Venues,1,,,,,,21,0,Venues,1,1
